video_id,author,text,like_count,published_at
kdf3QRXg6jo,@user-xz4vv5dk8s,增加路口見警率，是可以改善各種交通亂象的,0,2025-06-06T06:36:55Z
kdf3QRXg6jo,@吳宗鑫-s5t,行人優先被撞區,1,2025-04-24T10:36:29Z
kdf3QRXg6jo,@chenrino544,十月？ 所以還要死半年人？,0,2025-04-21T04:01:53Z
kdf3QRXg6jo,@wii5652,謝謝交通部 我被碰瓷我被舉發吊照一年😂 謝謝政府,0,2024-12-20T17:24:00Z
kdf3QRXg6jo,@舒慶宇,"乾脆把市區全部都規劃成專用區就好了，然後政府大官的車，也同樣必須尊守，不要有特權，時速20, 騎機車都不穩了，叫那些大官們來騎看看",0,2024-12-20T07:56:20Z
kdf3QRXg6jo,@Z_K_S228,車繳這麼多稅，規則愈來愈多,0,2024-12-18T16:17:09Z
kdf3QRXg6jo,@洽卡,想錢想瘋了,0,2024-12-18T11:36:13Z
kdf3QRXg6jo,@永承謝,駕駛地獄,0,2024-12-18T10:00:04Z
kdf3QRXg6jo,@binsanke,應該培養駕駛人與路人的正確良好的習慣，一昧地用特區來限制，離開特區還是一樣危險駕駛，這樣有用嗎????<br>真的是頭痛醫腳,0,2024-12-17T10:07:54Z
kdf3QRXg6jo,@林阿富-w1f,應該換車子先走完再換行人走，不然行人都覺得無敵，事實每年走掉一堆人，連腳都掉了,0,2024-12-09T03:26:04Z
kdf3QRXg6jo,@潘永輝-v6k,幹，不認真抓白牌車,0,2024-12-07T06:07:05Z
kdf3QRXg6jo,@lIllIIllIlIlIIlIllIIlIIlllIllI,路權團體、時代力量才2%得票還能影響政府😂,1,2024-11-28T09:02:18Z
kdf3QRXg6jo,@lIllIIllIlIlIIlIllIIlIIlllIllI,Ubike都20起跳的，機車20？,1,2024-11-28T09:00:43Z
kdf3QRXg6jo,@蔡英俊-d3w,莫名其妙 不得超過20<br>那我開車就注意車速就飽了阿<br>同時還要注意 行人跟周圍車輛<br>人車分流 就這麼難嗎?,3,2024-11-26T16:22:02Z
kdf3QRXg6jo,@warneranthony7314,走人行道要刷QR code 實名制,0,2024-11-22T15:34:31Z
kdf3QRXg6jo,@ShiueJenYih,相信我，只會越設越多，又是一個政府撈好撈滿的政策,2,2024-11-21T12:55:38Z
kdf3QRXg6jo,@Rex-nx4nv,平衡？這是大是大非的問題，沒有平衡，只有一方完全遵守,0,2024-11-19T04:30:15Z
kdf3QRXg6jo,@雪霸之友,賊啊正腐,0,2024-11-09T00:13:07Z
kdf3QRXg6jo,@ivanchen-k5o,交通部長無能，應該下台！,0,2024-11-08T13:05:14Z
kdf3QRXg6jo,@ivanchen-k5o,畫個線設好陷阱，然後等收錢！,0,2024-11-08T13:01:10Z
kdf3QRXg6jo,@ivanchen-k5o,怎不先改善交通號誌燈設計，只會祭出一堆措施來限制人民開車行動否則就要罰，根本等於是一直在搶錢，真是可恥可惡！看以後誰還敢開車出門。應該要提出釋憲，阻止這樣層出不窮的搶錢手法出現才是。,0,2024-11-08T12:39:48Z
kdf3QRXg6jo,@m2247316,一堆過馬路在那邊滑手機慢慢走  這種政府 真頭痛..,3,2024-11-03T12:13:54Z
kdf3QRXg6jo,@孝文-m3j,罰三萬六？罰十萬政府才賺的爽。,0,2024-11-02T01:51:51Z
kdf3QRXg6jo,@K傑-v7f,應該弄個天橋給行人走像日本那樣,0,2024-10-30T02:09:48Z
kdf3QRXg6jo,@dtrwedty5164,這個政府真的瘋了,4,2024-10-28T08:25:21Z
